symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	cdg_curated_status	cdg_subtype	mendelian_disease_status	mode_of_inheritance	severe_mendelian_burden	clinvar_plp_variant_count	clinvar_plp_condition_count	clinvar_evidence_status	gwas_association_count	gwas_trait_category_count	glycome_trait_flag	immune_inflammation_trait_flag	infection_trait_flag	cancer_trait_flag	tissue_identity_trait_flag	complex_trait_evidence_status	disease_architecture_class	evidence_confidence	disease_annotation_version	disease_annotation_source	disease_annotation_source_url	disease_annotation_access_date	disease_annotation_notes
CMAS	ENSG00000111726	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	11	4	no	yes	yes	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 11 association(s), 11 mapped trait(s), categories immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
SLC35A1	ENSG00000164414	substrate_biosynthesis	substrate_support	no	yes	overlapping_or_multiple_pathway_cdg_gene	SLC35A1-CDG (CDG-IIf)	curated_cdg_mendelian_evidence	AR	high	4	1	plp_variants_present	5	1	no	no	no	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	overlapping or multiple pathway cdg gene; subtype SLC35A1-CDG (CDG-IIf); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 4 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 5 association(s), 5 mapped trait(s), categories metabolism, accessed 2026-06-03.
GMDS	ENSG00000112699	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	1	1	plp_variants_present	381	6	yes	yes	yes	yes	yes	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 1 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 381 association(s), 155 mapped trait(s), categories cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
FPGT	ENSG00000254685	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	121	3	no	yes	no	yes	no	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 121 association(s), 53 mapped trait(s), categories cancer;immune_inflammation;metabolism, accessed 2026-06-03.
FCSK	ENSG00000157353	substrate_biosynthesis	substrate_support	no	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	7	1	plp_variants_present	19	4	yes	no	no	yes	yes	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 7 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 19 association(s), 17 mapped trait(s), categories cancer;glycome;metabolism;tissue_identity, accessed 2026-06-03.
SLC35C1	ENSG00000181830	substrate_biosynthesis	substrate_support	no	yes	known_cdg_gene	SLC35C1-CDG (CDG-IIc)	curated_cdg_mendelian_evidence	AR	high	10	1	plp_variants_present	19	2	no	no	no	no	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype SLC35C1-CDG (CDG-IIc); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 10 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 19 association(s), 11 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
DPAGT1	ENSG00000172269	llo_assembly	upstream_core	yes	yes	known_cdg_gene	DPAGT1-CDG (CDG-Ij)	curated_cdg_mendelian_evidence	AR	high	38	9	plp_variants_present	27	3	no	yes	no	no	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype DPAGT1-CDG (CDG-Ij); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 38 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 27 association(s), 16 mapped trait(s), categories immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
ALG13	ENSG00000101901	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG13-CDG	curated_cdg_mendelian_evidence	XL	high	11	11	plp_variants_present	5	2	no	yes	no	no	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG13-CDG; mode XL; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 11 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 5 association(s), 5 mapped trait(s), categories immune_inflammation;tissue_identity, accessed 2026-06-03.
ALG14	ENSG00000172339	llo_assembly	upstream_core	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	1	1	plp_variants_present	27	3	no	yes	yes	no	no	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 1 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 27 association(s), 18 mapped trait(s), categories immune_inflammation;infection;metabolism, accessed 2026-06-03.
ALG1	ENSG00000033011	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG1-CDG (CDG-Ik)	curated_cdg_mendelian_evidence	AR	high	113	9	plp_variants_present	14	3	no	no	no	yes	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG1-CDG (CDG-Ik); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 113 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 14 association(s), 10 mapped trait(s), categories cancer;metabolism;tissue_identity, accessed 2026-06-03.
ALG2	ENSG00000119523	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG2-CDG (CDG-Ii)	curated_cdg_mendelian_evidence	AR	high	11	3	plp_variants_present	4	2	no	yes	yes	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG2-CDG (CDG-Ii); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 11 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 4 association(s), 4 mapped trait(s), categories immune_inflammation;infection, accessed 2026-06-03.
ALG11	ENSG00000253710	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG11-CDG (CDG-Ip)	curated_cdg_mendelian_evidence	AR	high	16	2	plp_variants_present	3	1	no	yes	no	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG11-CDG (CDG-Ip); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 16 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 3 association(s), 3 mapped trait(s), categories immune_inflammation, accessed 2026-06-03.
RFT1	ENSG00000163933	llo_assembly	upstream_core	yes	yes	known_cdg_gene	RFT1-CDG (CDG-In)	curated_cdg_mendelian_evidence	AR	high	15	1	plp_variants_present	111	4	no	yes	no	yes	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype RFT1-CDG (CDG-In); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 15 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 111 association(s), 48 mapped trait(s), categories cancer;immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
ALG3	ENSG00000214160	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG3-CDG (CDG-Id)	curated_cdg_mendelian_evidence	AR	high	38	3	plp_variants_present	3	3	no	no	yes	yes	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG3-CDG (CDG-Id); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 38 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 3 association(s), 3 mapped trait(s), categories cancer;infection;metabolism, accessed 2026-06-03.
ALG9	ENSG00000086848	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG9-CDG (CDG-IL)	curated_cdg_mendelian_evidence	AR	high	35	9	plp_variants_present	64	5	no	yes	yes	yes	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG9-CDG (CDG-IL); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 35 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 64 association(s), 40 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism;tissue_identity, accessed 2026-06-03.
ALG12	ENSG00000182858	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG12-CDG (CDG-Ig)	curated_cdg_mendelian_evidence	AR	high	42	3	plp_variants_present	13	3	no	yes	no	yes	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG12-CDG (CDG-Ig); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 42 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 13 association(s), 10 mapped trait(s), categories cancer;immune_inflammation;metabolism, accessed 2026-06-03.
ALG6	ENSG00000088035	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG6-CDG (CDG-Ic)	curated_cdg_mendelian_evidence	AR	high	115	8	plp_variants_present	5	1	no	no	no	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG6-CDG (CDG-Ic); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 115 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 5 association(s), 5 mapped trait(s), categories metabolism, accessed 2026-06-03.
ALG8	ENSG00000159063	llo_assembly	upstream_core	yes	yes	known_cdg_gene	ALG8-CDG (CDG-Ih)	curated_cdg_mendelian_evidence	AR	high	63	10	plp_variants_present	9	2	no	no	yes	no	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype ALG8-CDG (CDG-Ih); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 63 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 9 association(s), 7 mapped trait(s), categories infection;metabolism, accessed 2026-06-03.
ALG10	ENSG00000139133	llo_assembly	upstream_core	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	2	2	plp_variants_present	26	2	no	yes	no	no	no	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 2 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 26 association(s), 9 mapped trait(s), categories immune_inflammation;metabolism, accessed 2026-06-03.
ALG10B	ENSG00000175548	llo_assembly	upstream_core	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	38	2	no	no	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 38 association(s), 23 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
ALG5	ENSG00000120697	llo_assembly	upstream_core	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	8	2	plp_variants_present	1	0	no	no	no	no	no	gwas_trait_evidence_present	severe_mendelian_core	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 8 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 1 association(s), 1 mapped trait(s), categories none, accessed 2026-06-03.
STT3A	ENSG00000134910	ost_transfer	upstream_core	yes	yes	known_cdg_gene	STT3A-CDG	curated_cdg_mendelian_evidence	AR	high	6	2	plp_variants_present	11	3	no	yes	no	yes	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype STT3A-CDG; mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 6 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 11 association(s), 15 mapped trait(s), categories cancer;immune_inflammation;tissue_identity, accessed 2026-06-03.
STT3B	ENSG00000163527	ost_transfer	upstream_core	yes	yes	known_cdg_gene	STT3B-CDG	curated_cdg_mendelian_evidence	AR	high	2	1	plp_variants_present	24	4	no	yes	yes	yes	no	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype STT3B-CDG; mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 2 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 24 association(s), 22 mapped trait(s), categories cancer;immune_inflammation;infection;metabolism, accessed 2026-06-03.
DDOST	ENSG00000244038	ost_transfer	upstream_core	yes	yes	known_cdg_gene	DDOST-CDG (CDG-Ir)	curated_cdg_mendelian_evidence	AR	high	3	1	plp_variants_present	5	2	no	no	no	no	yes	gwas_trait_evidence_present	mixed_mendelian_and_complex	high	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	known cdg gene; subtype DDOST-CDG (CDG-Ir); mode AR; source GeneReviews CDG N-linked and multiple-pathway overview, accessed 2026-06-03; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 3 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 5 association(s), 6 mapped trait(s), categories metabolism;tissue_identity, accessed 2026-06-03.
DAD1	ENSG00000129562	ost_transfer	upstream_core	yes	yes	not_cdg_gene		no_curated_cdg_mendelian_seed_evidence		low	0	0	no_plp_variants_found	8	3	no	yes	no	no	yes	gwas_trait_evidence_present	complex_or_context_dependent_trait	first_pass_genereviews_only	cdg_clinvar_plus_gwas_catalog_v0.1_2026-06-03	GeneReviews CDG N-linked and multiple-pathway overview	https://www.ncbi.nlm.nih.gov/books/NBK1332/	2026-06-03	Not listed in first-pass GeneReviews CDG seed curation; ClinVar and GWAS evidence not assessed in this version. ClinVar P/LP layer: 0 unique GRCh38 germline P/LP VariationID(s), accessed 2026-06-03. GWAS Catalog layer: 8 association(s), 10 mapped trait(s), categories immune_inflammation;metabolism;tissue_identity, accessed 2026-06-03.
