symbol	gwas_association_count	gwas_study_count	gwas_pubmed_count	gwas_trait_category_count	gwas_mapped_trait_count	gwas_min_p_value	gwas_trait_categories	gwas_mapped_trait_examples	gwas_catalog_release	gwas_catalog_source_url	gwas_catalog_access_date
MAGT1	2	2	2	0	3	4e-13		Graves disease; chromosome; telomeric region length	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MAN1A1	108	73	53	5	55	0.0	cancer;immune_inflammation;infection;metabolism;tissue_identity	C-type lectin domain family 11 member A level; CA9/CBLIF protein level ratio in blood; PHF-tau measurement; birth measurement; blood glucose amount; blood protein amount; body fat percentage; body height	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MAN1A2	43	36	25	5	27	4e-110	cancer;immune_inflammation;infection;metabolism;tissue_identity	2-alpha-mannosidase IB measurement; TFF1/TFF2 protein level ratio in blood; alkaline phosphatase measurement; blood protein amount; body mass index; cigarettes per day measurement; educational attainment; glypican-1 measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MAN1B1	12	11	11	2	9	2e-239	metabolism;tissue_identity	blood protein amount; coronary aneurysm; dipeptidyl peptidase 2 measurement; platelet count; protein measurement; total cholesterol measurement; trait in response to ethanol; type 1 diabetes mellitus	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MAN1C1	25	21	17	4	19	7e-78	cancer;infection;metabolism;tissue_identity	acute myeloid leukemia; apolipoprotein B measurement; appendicular lean mass; blood copper level; blood protein amount; body height; bone tissue density; gut microbiome measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MAN2A1	63	54	40	4	34	1e-36	cancer;immune_inflammation;infection;metabolism	Alzheimer disease; S-6-hydroxywarfarin to S-warfarin ratio measurement; aggressive behavior quality; autism spectrum disorder; blood protein amount; body height; breastfeeding duration; cognitive function measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MAN2A2	13	13	13	2	13	4e-44	metabolism;tissue_identity	6)-fucosyltransferase in blood; aortic stenosis; attention deficit-hyperactivity disorder; blood protein amount; brain attribute; coffee consumption measurement; diastolic blood pressure; heart failure	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MGAT1	37	36	22	2	22	2e-54	metabolism;tissue_identity	adolescent idiopathic scoliosis; apolipoprotein A 1 measurement; aspartate aminotransferase measurement; blood glucose amount; body height; body mass index; body weight; cognitive function measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MGAT2	1	1	1	2	1	1e-09	metabolism;tissue_identity	blood protein amount	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MGAT3	159	96	36	5	64	2e-82	cancer;glycome;immune_inflammation;metabolism;tissue_identity	B-cell receptor CD22 level; BMI-adjusted waist-hip ratio; CD22/FCRL1 protein level ratio in blood; CD22/TNFRSF13C protein level ratio in blood; IgG bisecting N-acetyl glucosamine measurement; IgG digalactosylation measurement; IgG disialylation measurement; IgG fucosylation measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MGAT4A	17	17	15	4	17	1e-22	cancer;immune_inflammation;metabolism;tissue_identity	3-methylxanthine measurement; Cleft palate; bipolar disorder; body height; cleft lip; congenital left-sided heart lesions; glioblastoma; level of C-type lectin domain family 4 member C in blood	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MGAT4B	10	10	8	4	8	2e-198	glycome;immune_inflammation;metabolism;tissue_identity	3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B measurement; alpha-1; blood protein amount; major depressive disorder; monocyte count; platelet count; platelet crit; protein measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MGAT4C	59	43	35	5	45	5e-21	cancer;glycome;immune_inflammation;metabolism;tissue_identity	1-(1-enyl-palmitoyl)-GPE (P-16:0) measurement; 3-hydroxypropylmercapturic acid measurement; 3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C measurement; Bell's palsy; FEV/FVC ratio; Myopia; QRS duration; Stuttering	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MGAT5	231	182	94	6	139	0.0	cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity	AXL/CD163 protein level ratio in blood; B-cell chronic lymphocytic leukemia; BMI-adjusted hip circumference; BMI-adjusted waist circumference; BTN2A1/SIGLEC1 protein level ratio in blood; CD163/FOLR2 protein level ratio in blood; CD163/ICAM1 protein level ratio in blood; CD163/IL18BP protein level ratio in blood	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MLEC	27	24	19	4	18	2e-211	immune_inflammation;infection;metabolism;tissue_identity	C-reactive protein measurement; COVID-19; Red cell distribution width; breastfeeding duration; butyrylcarnitine (C4) measurement; cognitive function measurement; erythrocyte attribute; erythrocyte count	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MOGS	0	0	0	0	0				gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MPDU1	39	37	21	2	19	0.0	metabolism;tissue_identity	Abnormality of refraction; HbA1c measurement; IGF-1 measurement; IgA glomerulonephritis; N6-acetyllysine measurement; alkaline phosphatase measurement; aspartate aminotransferase measurement; body fat percentage	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
MPI	36	23	14	2	18	0.0	immune_inflammation;metabolism	CNPY4/MPI protein level ratio in blood; EREG/MPI protein level ratio in blood; IMPA1/MPI protein level ratio in blood; INPP1/MPI protein level ratio in blood; MPI/SIRT2 protein level ratio in blood; MPI/TACC3 protein level ratio in blood; Red cell distribution width; diastolic blood pressure	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
NAGK	24	23	21	3	12	6e-206	immune_inflammation;metabolism;tissue_identity	Erythema nodosum; N-acetyl-D-glucosamine kinase measurement; anthropometric measurement; blood protein amount; body height; eosinophil count; eosinophil percentage of leukocytes; hematological measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
NANP	5	5	5	3	7	4e-13	cancer;metabolism;tissue_identity	brain attribute; colorectal cancer; endometrial neoplasm; fat pad mass; guanosine diphosphate measurement; neuroimaging measurement; psychotic symptoms	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
NANS	10	10	6	1	8	1e-32	metabolism	alopecia areata; apolipoprotein A 1 measurement; basophil measurement; erythrocyte volume; health trait; high density lipoprotein cholesterol measurement; protein measurement; triglyceride measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
NGLY1	0	0	0	0	0				gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
NUS1	32	31	22	1	14	5e-23	metabolism	Drugs used in diabetes use measurement; anthropometric measurement; bladder exstrophy; body height; body weight; coronary artery disorder; educational attainment; free cholesterol measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
OS9	31	25	19	3	20	3e-145	immune_inflammation;metabolism;tissue_identity	amyloid-beta measurement; anti-citrullinated protein antibody seropositivity; anxiety disorder measurement; blood phosphate measurement; blood protein amount; body fat distribution; body height; brain attribute	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
OST4	10	10	4	3	7	0.0	immune_inflammation;metabolism;tissue_identity	CGREF1/FAM3C protein level ratio in blood; brain attribute; brain volume; cerebral cortex area attribute; cortical thickness; leukocyte quantity; neuroimaging measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
OSTC	6	6	6	2	7	2e-08	cancer;metabolism	LDL cholesterol change measurement; Stuttering; apolipoprotein A 1 measurement; glioblastoma; response to statin; sporadic amyotrophic lateral sclerosis; treatment-resistant hypertension	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
PDIA3	15	15	8	3	15	2e-115	cancer;metabolism;tissue_identity	blood lead amount; blood protein amount; cholesterol in IDL measurement; cholesteryl ester measurement; cholesteryl esters in IDL measurement; free cholesterol in IDL measurement; free cholesterol in large LDL measurement; free cholesterol measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
PGM3	2	2	2	1	2	2e-08	metabolism	insomnia; schizophrenia	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
PMM1	17	17	14	3	14	2e-27	cancer;immune_inflammation;metabolism	Abnormality of refraction; Crohn disease; alcohol consumption quality; attention deficit-hyperactivity disorder; autism spectrum disorder; cannabis dependence measurement; cognitive function measurement; diet measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
PMM2	15	11	9	3	11	1e-202	cancer;immune_inflammation;metabolism	CARHSP1/HMBS protein level ratio in blood; CARHSP1/TBC1D17 protein level ratio in blood; breast cancer; disease progression measurement; level of calcium-regulated heat-stable protein 1 in blood serum; level of phosphomannomutase 2 in blood; neurofibrillary tangles measurement; open-angle glaucoma	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
PRKCSH	6	4	4	2	4	6e-13	immune_inflammation;metabolism	blood immunoglobulin amount; glucosidase 2 subunit beta measurement; serum metabolite level; systolic blood pressure	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
RFT1	111	95	58	4	48	1e-300	cancer;immune_inflammation;metabolism;tissue_identity	BMI-adjusted hip circumference; BMI-adjusted waist circumference; BMI-adjusted waist-hip ratio; Crohn disease; DKK1/SERPINE1 protein level ratio in blood; ENO2/MGLL protein level ratio in blood; amount of iron in brain; anxiety measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
RPN1	368	275	51	6	82	0.0	cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity	1-methylhistamine measurement; AZU1/RNASE3 protein level ratio in blood; C-C motif chemokine 2 level; C-type lectin domain family 11 member A level; C-type lectin domain family 5 member A measurement; C-type lectin domain family 6 member A measurement; COVID-19; Fc receptor-like protein 1 measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
RPN2	18	14	13	2	8	2e-239	cancer;metabolism	Kawasaki disease; appendicular lean mass; body height; hematological measurement; hippocampal atrophy; initial pursuit acceleration; lean body mass; sexual dimorphism measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
SEL1L	17	17	15	5	14	4e-20	cancer;immune_inflammation;infection;metabolism;tissue_identity	3-hydroxy-1-methylpropylmercapturic acid measurement; Thrombocytopenia; blood cadmium amount; body height; comparative body size at age 10; gut microbiome measurement; intraocular pressure measurement; level of vascular endothelial growth factor B in blood serum	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
SLC35A1	5	5	5	1	5	4e-12	metabolism	blood protein amount; body composition measurement; hip bone mineral density; protein measurement; smoking initiation	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
SLC35C1	19	19	12	2	11	4e-36	metabolism;tissue_identity	Alzheimer disease; attention deficit-hyperactivity disorder; axial length measurement; beta-amyloid 1-42 measurement; blood glucose amount; diastolic blood pressure; glucose measurement; risk-taking behaviour	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
SRD5A3	43	28	16	4	20	2e-31	cancer;immune_inflammation;metabolism;tissue_identity	BMI-adjusted hip circumference; BMI-adjusted waist-hip ratio; PR interval; age at assessment; aspartate aminotransferase measurement; body height; body shape measurement; brain attribute	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ST3GAL4	1068	940	98	6	437	3e-299	cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity	ADA2/VCAM1 protein level ratio in blood; ADGRE2/SIGLEC1 protein level ratio in blood; ADGRE5/VCAM1 protein level ratio in blood; ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 measurement; ALCAM/CDH5 protein level ratio in blood; ANGPT1/DKK1 protein level ratio in blood; ANGPT1/EGF protein level ratio in blood; ANGPT1/MPIG6B protein level ratio in blood	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ST6GAL1	249	163	62	6	115	5e-276	cancer;glycome;immune_inflammation;infection;metabolism;tissue_identity	6-sialyltransferase 1 measurement; ADGRE5/SEMA7A protein level ratio in blood; Alzheimer disease; B-cell antigen receptor complex-associated protein beta chain measurement; B-cell receptor CD22 level; BMI-adjusted adiponectin measurement; CD48 antigen measurement; CD79B/CKAP4 protein level ratio in blood	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ST8SIA2	22	19	18	3	20	3e-88	cancer;infection;metabolism	Aplastic anemia; COVID-19; ITGB1/NCAM1 protein level ratio in blood; PHF-tau measurement; allergic rhinitis; bipolar disorder; body height; body weight loss	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ST8SIA3	50	46	28	5	20	1e-67	cancer;immune_inflammation;infection;metabolism;tissue_identity	C-reactive protein measurement; HIV-1 infection; acute myeloid leukemia; alanine measurement; alcohol consumption quality; alkaline phosphatase measurement; bitter alcoholic beverage consumption measurement; body height	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
ST8SIA6	48	38	24	4	38	5e-43	cancer;immune_inflammation;metabolism;tissue_identity	Huntington disease; Moderate albuminuria; PHF-tau measurement; Red cell distribution width; S-methylcysteine sulfoxide measurement; acute lymphoblastic leukemia; allergen exposure measurement; anxiety measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
STT3A	11	11	10	3	15	3e-17	cancer;immune_inflammation;tissue_identity	amount of iron in brain; attention deficit-hyperactivity disorder; autism spectrum disorder; bipolar disorder; body height; estrogen-receptor negative breast cancer; family history of lung cancer; heel bone mineral density	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
STT3B	24	22	19	4	22	6e-48	cancer;immune_inflammation;infection;metabolism	alcohol consumption quality; aortic stenosis; aortic valve calcification; body height; chronic graft versus host disease; cognitive function measurement; diabetic retinopathy; donor genotype effect measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
TMEM258	3599	1592	154	5	449	0.0	cancer;immune_inflammation;infection;metabolism;tissue_identity	1; 1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4) measurement; 1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6) measurement; 1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6) measurement; 1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1) measurement; 1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1) measurement; 1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0) measurement; 1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4) measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
TUSC3	71	65	48	5	52	4e-35	cancer;immune_inflammation;infection;metabolism;tissue_identity	Abnormality of skin pigmentation; Alzheimer's disease biomarker measurement; Astigmatism; DNA methylation; FEV/FVC ratio; HETE measurement; PHF-tau measurement; Paralysis	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
UAP1	16	16	10	4	15	7e-51	cancer;immune_inflammation;infection;metabolism	Ischemic stroke; angiopoietin-1 receptor measurement; coronary artery disorder; femoral neck bone mineral density; gout; hematological measurement; hip bone mineral density; interleukin 7 receptor subunit alpha measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
UGGT1	18	17	12	3	13	3e-70	cancer;infection;metabolism	HPV seropositivity; anthropometric measurement; body height; body mass index; color vision disorder; diastolic blood pressure; health trait; heart rate variability measurement	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
UGGT2	33	29	24	4	21	8e-213	immune_inflammation;infection;metabolism;tissue_identity	Alzheimer disease; BMI-adjusted waist-hip ratio; Crohn disease; FEV/FVC ratio; amygdala volume; blood urea nitrogen amount; body height; body mass index	gwas_catalog_v1.0.2-associations_e115_r2026-06-01	https://www.ebi.ac.uk/gwas/api/search/downloads/associations/v1.0.2	2026-06-03
